0 2 {}
0 4 {}
0 12 {}
0 20 {}
0 35 {}
0 44 {}
0 45 {}
2 6 {}
2 8 {}
2 11 {}
2 15 {}
2 17 {}
2 40 {}
2 43 {}
2 45 {}
2 46 {}
2 47 {}
2 48 {}
4 7 {}
4 8 {}
4 14 {}
4 18 {}
4 39 {}
4 46 {}
12 3 {}
12 5 {}
12 9 {}
12 14 {}
12 15 {}
12 16 {}
12 17 {}
12 19 {}
12 21 {}
12 24 {}
12 26 {}
12 28 {}
12 33 {}
12 34 {}
12 35 {}
20 3 {}
20 7 {}
20 8 {}
20 9 {}
20 11 {}
20 13 {}
20 30 {}
20 32 {}
20 36 {}
20 49 {}
35 19 {}
35 22 {}
35 25 {}
35 28 {}
35 44 {}
35 47 {}
44 3 {}
44 14 {}
44 17 {}
44 21 {}
44 26 {}
44 34 {}
44 41 {}
44 46 {}
45 8 {}
45 16 {}
45 24 {}
45 25 {}
45 27 {}
45 37 {}
45 38 {}
1 7 {}
1 25 {}
1 26 {}
1 34 {}
1 36 {}
1 39 {}
1 48 {}
7 9 {}
7 10 {}
7 13 {}
7 22 {}
7 24 {}
7 31 {}
7 43 {}
7 48 {}
25 17 {}
25 29 {}
25 30 {}
25 37 {}
25 42 {}
26 18 {}
26 30 {}
26 36 {}
26 42 {}
26 43 {}
34 3 {}
34 10 {}
34 14 {}
34 21 {}
34 24 {}
34 39 {}
34 46 {}
34 48 {}
36 3 {}
36 8 {}
36 13 {}
36 21 {}
36 31 {}
36 39 {}
36 46 {}
36 47 {}
39 6 {}
39 8 {}
39 15 {}
39 28 {}
39 38 {}
39 41 {}
48 3 {}
48 9 {}
48 40 {}
48 41 {}
48 49 {}
6 5 {}
6 17 {}
6 28 {}
6 30 {}
6 47 {}
8 10 {}
8 11 {}
8 41 {}
8 42 {}
11 3 {}
11 15 {}
11 16 {}
11 17 {}
11 18 {}
11 23 {}
11 41 {}
11 43 {}
11 49 {}
15 3 {}
15 9 {}
15 10 {}
15 13 {}
15 29 {}
15 37 {}
15 42 {}
17 21 {}
17 31 {}
17 43 {}
17 49 {}
40 10 {}
40 13 {}
40 16 {}
40 19 {}
40 21 {}
40 23 {}
40 24 {}
40 41 {}
40 46 {}
43 9 {}
43 13 {}
43 31 {}
43 32 {}
43 47 {}
46 10 {}
46 14 {}
46 19 {}
46 21 {}
46 23 {}
46 27 {}
46 30 {}
46 38 {}
47 10 {}
47 16 {}
47 22 {}
47 41 {}
47 49 {}
3 5 {}
3 18 {}
3 28 {}
3 37 {}
5 16 {}
5 19 {}
18 9 {}
18 10 {}
18 30 {}
28 21 {}
28 27 {}
28 31 {}
28 41 {}
37 23 {}
37 29 {}
14 10 {}
14 32 {}
14 33 {}
14 41 {}
16 10 {}
16 29 {}
19 10 {}
19 21 {}
19 24 {}
19 27 {}
19 32 {}
19 33 {}
19 42 {}
30 10 {}
30 22 {}
30 27 {}
30 31 {}
30 32 {}
30 38 {}
30 41 {}
30 49 {}
9 13 {}
9 29 {}
9 31 {}
9 38 {}
9 42 {}
10 13 {}
10 33 {}
13 38 {}
22 23 {}
22 24 {}
22 33 {}
22 38 {}
22 49 {}
24 23 {}
24 31 {}
24 33 {}
24 38 {}
31 38 {}
41 42 {}
42 27 {}
29 23 {}
29 27 {}
38 27 {}
38 49 {}
33 32 {}
33 49 {}
23 27 {}
49 32 {}
21 32 {}
